학년도,학기,학년,교과목 ID,국문 교과목,영문 교과목,이수구분,학점,시간,국문 개요,영문 개요,Department,Major
2026,1학기(여름학기포함),2학년,21501633,알고리즘,Algorithm,전공필수,3,3,"알고리즘은 문제 해결을 위한 일련의 절차로, 소프트웨어 개발은 정확하고 효율적인 알고리즘을 만드는 것에서부터 시작한다. 본 과목에서는 프로그램 복잡도, 정렬, 다이나믹 프로그램, 그래프 문제, NP-complete 등 기본적인 알고리즘 지식을 학습한다. 또한 이를 사용한 문제 해결방법과 프로그래밍 기법을 익힌다.","Algorithm is a sequence of procedures for solving problems, and software development begins with creating accurate and efficient algorithms. This course covers fundamental algorithmic knowledge, including program complexity, sorting, dynamic programming, graph problems, and NP-completeness. Students will also learn problem-solving methods and programming techniques using these concepts.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),2학년,21501637,머신러닝,Machine Learning,전공필수,3,3,"머신러닝은 사람의 지능을 모방하는 컴퓨터 기술을 의미한다. 본 과목에서는 머신러닝에 대한 기본 지식을 학습하고, 다층퍼셉트론, 딥러닝 기초, 비지도 학습, 준지도 학습, 전이학습, 강화학습 등을 학습한다. 또한 실 데이터를 사용하여 다양한 모델을 구현하고 학습된 모델의 추론과 평가를 수행하는 프로젝트를 수행한 다.","Machine learning refers to computer technology that mimics human intelligence. This course covers fundamental knowledge of machine learning, including multilayer perceptrons, deep learning basics, unsupervised learning, semi-supervised learning, transfer learning, and reinforcement learning. Students will also implement various models using real-world data and perform inference and evaluation of trained models through a project.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),2학년,21501638,컴퓨터구조,Computer Architecture,전공선택,3,3,"본 과목은 소프트웨어 전공 학생들로 하여금 컴퓨터에서 하드웨어 및 시스템의 역할을 학습하는 것을 목표로 한다. 특히, 하드웨어 요소 중 소프트웨어의 성능에 가장 큰 영향을 미치는 프로세서와 메모리 구조 및 동작 방식을 이해하고, 이를 바탕으로 소프트웨어를 최적화할 수있는 방법을 학습한다.","This course aims to enable software majors to learn the role of hardware and systems within computers. Specifically, it focuses on understanding the processor and memory structures and their modes of operation—the hardware elements that most significantly impact software performance—and, based on this understanding, teaches methods for optimizing software.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),2학년,21501640,고급AI수학,Advanced AI Mathematics,전공선택,3,3,"고급 AI수학은 선형대수와 같이 일반공학 문제에서 다루는 아날로그 세계에서 공히 사용되는 풀이법을 다룬다. 본 과목에서는 일차연립방정식, 행렬, 가우스 소 거법, 벡터장, 최소제곱근사법, Gram-Schmidt 직교화방법, Determinant, 고유치와 고유벡터, 선형변환 등에 대해 학습한다.","Advanced AI Mathematics covers solution methods commonly used in the analog world, such as linear algebra, which addresses general engineering problems. This course covers systems of linear equations, matrices, Gaussian elimination, vector fields, least squares approximation, Gram-Schmidt orthogonalization, determinants, eigenvalues and eigenvectors, and linear transformations.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),2학년,21501641,고급프로그래밍,Advanced Programming,전공선택,3,4,"본 과목은 객체지향 패러다임의 근간을 이루는 객체, 클래스, 상속, 다형성 등의 개념들을 다룬다. 이를 위해 대표적인 객체지향프로그래밍 언어인 Java나 C++등 에 대해 학습하고, 실습을 통해 객체지향 프로그래밍 기법을 익힌다. 또한 프로젝트를 통해 문제해결 능력을 배양한다.","This course covers fundamental concepts of the object-oriented paradigm, including objects, classes, inheritance, and polymorphism. To this end, students will study Java, a representative object-oriented programming language, and learn object-oriented programming techniques using Java, C++, or etc. through practical exercises. Additionally, problem-solving skills will be cultivated through project work.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),2학년,21501631,확률및통계,Probability and Statistics,전공기초,3,3,"본 과목에서는 자연 현상이나 사회적 현상을 수학적으로 예측하기 위해 필요한 기본적인 확률 및 통계 지식을 학습한다. 구체적으로 표본공간과 사상, 확률분포, 표본분포, 통계적 추론(추정 및 검정) 등의 통계학의 기초적인 개념과 이론을 학습한다.","This course covers the fundamental probability and statistics knowledge required to mathematically predict natural or social phenomena. Specifically, it covers the basic concepts and theories of statistics, including sample space and mapping, probability distributions, sample distributions, and statistical inference (estimation and hypothesis testing).",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),2학년,21501632,자료구조,Data Structure,전공필수,3,3,"자료구조는 프로그램에서 사용되는 데이터를 구성하는 방식과 이를 효율적으로 사용하는 방법과 관한 것이다. 본 과목은 List, Stack, Queue, Recursion, Tree, Graph, Sorting 등 기본적인 자료구조를 이해하고, 이에 대한 설계 및 분석 기법을 학습하여 실무에 적용할 수 있는 프로그래밍 능력 함양을 목표로 한다.","Data structures concern the methods of organizing data used in programs and how to utilize it efficiently. This course aims to cultivate practical programming skills by understanding fundamental data structures such as Lists, Stacks, Queues, Recursion, Trees, Graphs, and Sorting, and learning their design and analysis techniques for real-world application.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),2학년,21501633,알고리즘,Algorithm,전공필수,3,3,"알고리즘은 문제 해결을 위한 일련의 절차로, 소프트웨어 개발은 정확하고 효율적인 알고리즘을 만드는 것에서부터 시작한다. 본 과목에서는 프로그램 복잡도, 정렬, 다이나믹 프로그램, 그래프 문제, NP-complete 등 기본적인 알고리즘 지식을 학습한다. 또한 이를 사용한 문제 해결방법과 프로그래밍 기법을 익힌다.","Algorithm is a sequence of procedures for solving problems, and software development begins with creating accurate and efficient algorithms. This course covers fundamental algorithmic knowledge, including program complexity, sorting, dynamic programming, graph problems, and NP-completeness. Students will also learn problem-solving methods and programming techniques using these concepts.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),2학년,21501637,머신러닝,Machine Learning,전공필수,3,3,"머신러닝은 사람의 지능을 모방하는 컴퓨터 기술을 의미한다. 본 과목에서는 머신러닝에 대한 기본 지식을 학습하고, 다층퍼셉트론, 딥러닝 기초, 비지도 학습, 준지도 학습, 전이학습, 강화학습 등을 학습한다. 또한 실 데이터를 사용하여 다양한 모델을 구현하고 학습된 모델의 추론과 평가를 수행하는 프로젝트를 수행한 다.","Machine learning refers to computer technology that mimics human intelligence. This course covers fundamental knowledge of machine learning, including multilayer perceptrons, deep learning basics, unsupervised learning, semi-supervised learning, transfer learning, and reinforcement learning. Students will also implement various models using real-world data and perform inference and evaluation of trained models through a project.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),2학년,21501642,디지털시스템입문,Introduction to Digital Systems,전공선택,3,3,"본 과목은 디지털 논리 게이트 및 조합 논리회로, 순차 논리회로의 설계 방법과 하드웨어 기술 언어를 학습한다. 부울 대수, 조합회로 설계, 플립플롭과 레지스 터, 유한 상태 머신, 데이터패스 설계 등을 다루며,  디지털 회로 설계 및 시뮬레이션 실습을 수행한다. RTL 설계 기법과 테스트벤치 작성을 통해 디지털 시스템 설계의 기초 역량을 배양한다.","This course covers digital logic gates, combinational and sequential circuit design methods, and hardware description languages. Students will learn Boolean algebra, combinational circuit design, flip-flops and registers, finite state machines, and datapath design, with hands-on practice in digital circuit design and simulation. Through RTL design techniques and testbench development, students will cultivate fundamental competencies in digital system design.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),2학년,21501643,데이터통신과네트워크,Data Communications and Networks,전공선택,3,3,"본 과목에서는 TCP/IP 모델을 사용하여 인터넷이 동작하는 원리를 학습한다. 응용계층, 전송계층, 네트워크 계층, 링크 계층 등 각 계층에서의 동작원리와 에러 탐지 등을 학습한다. 또한 통신네트워크와 관련된 자료를 이해하고 분석하는 능력과 이를 공식화하여 해결할 수 있는 능력을 배양한다.","This course covers the principles of how the Internet operates using the TCP/IP model. Students will learn the operational principles and error detection mechanisms at each layer, including the application layer, transport layer, network layer, and link layer. Additionally, the course cultivates the ability to understand and analyze data related to communication networks and to formalize and solve problems based on this understanding.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),2학년,21501649,웹프로그래밍,Web Programming,전공선택,3,3,"본 과목은 웹 애플리케이션 개발에 필요한 프론트엔드와 백엔드 기술을 학습한다. HTML, CSS, JavaScript를 활용한 사용자 인터페이스 설계와 Bootstrap, jQuery 등 라이브러리 활용법을 다룬다. Node.js와 Ajax를 통한 비동기 통신, 데이터베이스 연동 등 동적 웹 애플리케이션 개발 기술을 습득하며, 실전 프로젝트를 통해 풀스택 웹 개발 역량을 배양한다.","This course covers frontend and backend technologies required for web application development. Students will learn user interface design using HTML, CSS, and JavaScript, as well as library utilization including Bootstrap and jQuery. Through asynchronous communication with Node.js and Ajax, database integration, and other dynamic web application development techniques, students will acquire full-stack web development capabilities through practical projects.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),3학년,21501652,서버프로그래밍,Server Programming,전공선택,3,3,"본 과목은 웹 서버 개발의 핵심 기술을 학습한다. 백엔드 프레임워크를 활용하여 데이터베이스 연동, ORM, JSON API 구현, 인증 및 세션 관리 등 서버 시스템을 설계하고 구축한다. HTTP 프로토콜, RESTful API 설계, MVC 패턴을 이해하고, 실전 프로젝트를 통해 확장 가능한 웹 애플리케이션 서버 개발 역량을 배양한다.","This course covers core technologies for web server development. Using backend frameworks, students will design and build server systems including database integration, ORM, JSON API implementation, and authentication and session management. By understanding HTTP protocols, RESTful API design, and MVC patterns, students will develop scalable web application server capabilities through practical projects.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),3학년,21501653,프로그래밍언어,Programming Language,전공선택,3,3,"본 과목에서는 일반적으로 많이 다루어지는 고급언어인 C와 Pascal 과 같은 명령형 언어를 중심으로 언어의 설계 원리를 이해하고, 언어의 구성요소인 식별자,자 료형, 수식, 문장, 함수 등에 대한 특성과 설계 시 고려해야 할 것들을 학습한다. 즉, 프로그래밍 언어의 설계 원리 및 구현 방법들을 고려한 프로그래밍 방법론 을 익힐 수 있도록 한다.","This course focuses on understanding the design principles of programming languages, primarily imperative languages such as C and Pascal, which are commonly used high-level languages. Students will learn the characteristics of language components—identifiers, data types, expressions, statements, functions, etc.—and the considerations for their design. In other words, the course aims to equip students with programming methodologies that incorporate the design principles and implementation methods of programming languages.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),3학년,21501654,운영체제,Operating Systems,전공필수,3,3,"본 과목은 운영체제의 기본 개념과 핵심 기능을 학습한다. 프로세스와 스레드 관리, CPU 스케줄링, 메모리 관리, 파일 시스템, 입출력 시스템 등을 다루며, 동기 화와 교착상태 해결 기법을 학습한다. 실습을 통해 시스템 프로그래밍 능력을 배양하고, 운영체제의 설계 원리와 성능 최적화 기법을 이해하여 효율적인 시스템 소프트웨어 개발 역량을 함양한다.","This course covers fundamental concepts and core functions of operating systems. Students will learn process and thread management, CPU scheduling, memory management, file systems, and I/O systems, as well as synchronization and deadlock resolution techniques. Through hands-on practice, students will develop system programming capabilities and understand operating system design principles and performance optimization techniques to cultivate efficient system software development skills.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),3학년,21501656,데이터베이스,Database,전공선택,3,3,"데이터베이스 시스템에 대한 기본적인 지식을 습득한다. 데이터베이스의 기본 개념, 데이터 모델의 목적 및 종류, ER 데이터모델, 실세계에서 주로 사용되는 관 계형 데이터베이스 모델 등을 공부한다. 데이터베이스 언어인 SQL를 학습하며, 상용 데이터베이스 시스템을 이용하여 실습을 병행한다. 또한 데이터베이스 설계 의 중요한 단계인 정규화 이론에 관하여 학습한다.","This course aims to acquire fundamental knowledge of database systems. Study basic database concepts, the purpose and types of data models, the ER data model, and the relational database model commonly used in the real world. Learn SQL, the database language, while conducting practical exercises using commercial database systems. Additionally, study normalization theory, a crucial step in database design.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),3학년,21501657,네트워크,Networks,전공선택,3,3,"응용 계층에서 사용되는 프로토콜 원리를 학습하고, 클라이언트-서버간의 데이타 전송을 위한 프로토콜 설계 방법을 학습한다. 네트워킹을 위한 프로토콜 메시지 를 텍스트 또는 바이너리 기반으로 인코딩/디코딩하는 방법을 학습한다. TCP 소켓 기반 네트워크 프로그래밍과 응용계층 프로토콜을 설계하고 구현할 수 있는 능 력을 배양한다.",This course aims to learn the principles of protocols used at the application layer and study methods for designing protocols for data transmission between clients and servers. Learn how to encode/decode protocol messages for networking in text or binary formats. Develop the ability to design and implement TCP socket-based network programming and application layer protocols.,AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),3학년,21501658,시스템프로그래밍,System Programming,전공선택,3,3,"본 과목에서는 시스템 프로그램의 역할을 이해하고, 응용 프로그램이 실행될 때 단계별 처리과정을 학습한다. 이를 위해 User space에서 저수준의 프로그래밍 방 법들과 POSIX를 이용한 시스템 프로그래밍 방법에 대해서 이해하고 학습한다. 또한, 메모리 관리 방법, 멀티 쓰레딩 및 프로세스 이용법과 동기화 방법들에 대해 서 학습한다.","This course covers the role of system programs and the step-by-step processing involved when applications run. To achieve this, students will understand and learn low-level programming techniques in user space and system programming methods using POSIX. Additionally, the course covers memory management techniques, multithreading and process utilization, and synchronization methods.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),3학년,21501660,데이터사이언스,Data Science,전공선택,3,3,"데이터 사이언스는 데이터로부터 일반화할 수 있는 지식을 추출하고 활용할 수 있도록 하는 분야이다. 본 과목은 데이터 사이언스의 개념과 기법에 대하여 학습 한다. 다양한 형태의 데이터를 (정형화, 비정형화, 일부정형화 데이터 포함) 처리할 수 있는 기초적인 통계와 기계학습을 학습하고 프로젝트를 통해 예측 문제를 해결하는 능력을 배양한다.","Data science is a field that enables the extraction and utilization of knowledge that can be generalized from data. This course covers the concepts and techniques of data science. Students learn foundational statistics and machine learning to process various forms of data (including structured, unstructured, and semi-structured data), and cultivate the ability to solve predictive problems through projects.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),3학년,21501661,딥러닝프로그래밍,Deep Learning Programming,전공선택,3,3,"인공지능이란 인간의 지능으로 할 수 있는 인지, 사고, 학습 등을 컴퓨터가 할 수 있도록 하는 기술이다. 본 과목에서는 지식의 표현과 추론, 탐색, 기계학습, 딥러닝 등 인공지능의 기본 개념 및 기법에 대하여 다룬다. 또한 인공지능의 핵심 개념과 내용을 탐색과 최적화, 기계학습의 관점에서 살펴보고 관련된 프로젝트 를 수행한다.","Artificial intelligence is the technology that enables computers to perform cognitive tasks such as perception, reasoning, and learning that are typically performed by human intelligence. This course covers fundamental concepts and techniques in artificial intelligence, including knowledge representation and reasoning, search, machine learning, and deep learning. It also explores core concepts and content from the perspectives of search and optimization, machine learning, and involves related project work.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),3학년,21501662,로봇프로그래밍,Robot Programming,전공선택,3,3,"본 교과목은 로봇의 기본 구조와 원리를 이해하고, 다양한 센서와 구동기의 제어 기법을 학습한다. 로봇 소프트웨어 개발 환경을 구축하고, 발행-구독 기반 로봇 프로그래밍, 로봇 운동학, 자율주행 알고리즘(SLAM, Navigation) 등을 실습하여 실제 로봇 제어와 인공지능 융합 기술의 기초를 다진다.","This course aims to study the fundamental structure and principles of robots while learning control techniques for various sensors and actuators. It covers the development of a robotic software environment, hands-on programming with the publisher-subscriber model, and practical exercises on robot kinematics and autonomous driving algorithms (SLAM and Navigation) to build a solid foundation for real-world robot control and AI-integrated technologies.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),3학년,21501654,운영체제,Operating Systems,전공필수,3,3,"본 과목은 운영체제의 기본 개념과 핵심 기능을 학습한다. 프로세스와 스레드 관리, CPU 스케줄링, 메모리 관리, 파일 시스템, 입출력 시스템 등을 다루며, 동기 화와 교착상태 해결 기법을 학습한다. 실습을 통해 시스템 프로그래밍 능력을 배양하고, 운영체제의 설계 원리와 성능 최적화 기법을 이해하여 효율적인 시스템 소프트웨어 개발 역량을 함양한다.","This course covers fundamental concepts and core functions of operating systems. Students will learn process and thread management, CPU scheduling, memory management, file systems, and I/O systems, as well as synchronization and deadlock resolution techniques. Through hands-on practice, students will develop system programming capabilities and understand operating system design principles and performance optimization techniques to cultivate efficient system software development skills.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),3학년,21501657,네트워크,Networks,전공선택,3,3,"응용 계층에서 사용되는 프로토콜 원리를 학습하고, 클라이언트-서버간의 데이타 전송을 위한 프로토콜 설계 방법을 학습한다. 네트워킹을 위한 프로토콜 메시지 를 텍스트 또는 바이너리 기반으로 인코딩/디코딩하는 방법을 학습한다. TCP 소켓 기반 네트워크 프로그래밍과 응용계층 프로토콜을 설계하고 구현할 수 있는 능 력을 배양한다.",This course aims to learn the principles of protocols used at the application layer and study methods for designing protocols for data transmission between clients and servers. Learn how to encode/decode protocol messages for networking in text or binary formats. Develop the ability to design and implement TCP socket-based network programming and application layer protocols.,AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),3학년,21501658,시스템프로그래밍,System Programming,전공선택,3,3,"본 과목에서는 시스템 프로그램의 역할을 이해하고, 응용 프로그램이 실행될 때 단계별 처리과정을 학습한다. 이를 위해 User space에서 저수준의 프로그래밍 방 법들과 POSIX를 이용한 시스템 프로그래밍 방법에 대해서 이해하고 학습한다. 또한, 메모리 관리 방법, 멀티 쓰레딩 및 프로세스 이용법과 동기화 방법들에 대해 서 학습한다.","This course covers the role of system programs and the step-by-step processing involved when applications run. To achieve this, students will understand and learn low-level programming techniques in user space and system programming methods using POSIX. Additionally, the course covers memory management techniques, multithreading and process utilization, and synchronization methods.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),3학년,21501660,데이터사이언스,Data Science,전공선택,3,3,"데이터 사이언스는 데이터로부터 일반화할 수 있는 지식을 추출하고 활용할 수 있도록 하는 분야이다. 본 과목은 데이터 사이언스의 개념과 기법에 대하여 학습 한다. 다양한 형태의 데이터를 (정형화, 비정형화, 일부정형화 데이터 포함) 처리할 수 있는 기초적인 통계와 기계학습을 학습하고 프로젝트를 통해 예측 문제를 해결하는 능력을 배양한다.","Data science is a field that enables the extraction and utilization of knowledge that can be generalized from data. This course covers the concepts and techniques of data science. Students learn foundational statistics and machine learning to process various forms of data (including structured, unstructured, and semi-structured data), and cultivate the ability to solve predictive problems through projects.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),3학년,21501663,모바일프로그래밍,Mobile Programming,전공선택,3,3,"본 과목은 모바일 애플리케이션 개발의 핵심 기술을 학습한다. 모바일 플랫폼 아키텍처, UI/UX 설계, 이벤트 처리, 데이터 저장, 네트워크 통신 등을 다루며, MVC 패턴을 활용한 앱 구조 설계를 학습한다. 다양한 라이브러리와 센서 활용, 멀티미디어 처리를 통해 실용적인 모바일 애플리케이션 개발 역량을 배양한다.","This course covers core technologies for mobile application development. Students will learn mobile platform architecture, UI/UX design, event handling, data storage, and network communication, as well as app structure design using MVC patterns. Through the use of various libraries, sensors, and multimedia processing, students will develop practical mobile application development capabilities.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),3학년,21501665,컴파일러,Compiler,전공선택,3,3,"컴파일러는 고급 프로그래밍 언어로 작성된 프로그램을 실행 컴퓨터 환경에 적합한 실행 가능한 코드로 변환시키는 시스템 소프트웨어이다. 본 과목에서는 문법 을 정의하는 형식언어, 구문 분석, 의미 분석, 코드생성 및 코드 최적화 등의 주제를 학습한다. 또한, 컴파일러 구현을 통해 컴파일러에 대한 이해도를 높이고 관련된 시스템 프로그래밍 능력을 배양한다.","A compiler is system software that converts programs written in high-level programming languages into executable code suitable for the target computer environment. This course covers topics such as formal languages for defining syntax, parsing, semantic analysis, code generation, and code optimization. Furthermore, through compiler implementation, students deepen their understanding of compilers and cultivate related system programming skills.",AI대학,AI소프트웨어학부
